epoch,input_type,metric_name,layer,value
0,train,loss,,4.718758945726558
0,test,loss,,4.73172360668231
0,train,accuracy,,0.01821029931306839
0,test,accuracy,,0.0061341687105596066
0,general,weights_l2,layers.0.weight,8.43684196472168
0,general,weights_l2,layers.1.weight,8.41175365447998
0,general,weights_l2,layers.2.weight,6.321713924407959
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.0006460335671526869
1,test,loss,,7.677686874250571
1,train,accuracy,,1.0
1,test,accuracy,,0.002218741923570633
1,general,weights_l2,layers.0.weight,257.649658203125
1,general,weights_l2,layers.1.weight,215.01173400878906
1,general,weights_l2,layers.2.weight,135.85826110839844
1,train,zero_terms,,0.0
1,train,softmax_collapse,,1.0
2,train,loss,,8.536355007664555e-05
2,test,loss,,7.850016954924335
2,train,accuracy,,1.0
2,test,accuracy,,0.008222396485507488
2,general,weights_l2,layers.0.weight,350.8775634765625
2,general,weights_l2,layers.1.weight,294.6606750488281
2,general,weights_l2,layers.2.weight,185.19366455078125
2,train,zero_terms,,0.0
2,train,softmax_collapse,,1.0
3,train,loss,,1.2225241941988996e-05
3,test,loss,,7.712930222101919
3,train,accuracy,,1.0
3,test,accuracy,,0.02075176127254963
3,general,weights_l2,layers.0.weight,470.62158203125
3,general,weights_l2,layers.1.weight,397.5871276855469
3,general,weights_l2,layers.2.weight,248.6750030517578
3,train,zero_terms,,0.0
3,train,softmax_collapse,,1.0
4,train,loss,,1.7534556960116146e-06
4,test,loss,,7.384599663984479
4,train,accuracy,,1.0
4,test,accuracy,,0.053380317986011505
4,general,weights_l2,layers.0.weight,628.730224609375
4,general,weights_l2,layers.1.weight,534.6622314453125
4,general,weights_l2,layers.2.weight,332.8183288574219
4,train,zero_terms,,0.0
4,train,softmax_collapse,,1.0
5,train,loss,,2.5180585133613985e-07
5,test,loss,,6.665069227797364
5,train,accuracy,,1.0
5,test,accuracy,,0.12986165285110474
5,general,weights_l2,layers.0.weight,837.9542846679688
5,general,weights_l2,layers.1.weight,717.267578125
5,general,weights_l2,layers.2.weight,444.5711364746094
5,train,zero_terms,,0.0
5,train,softmax_collapse,,1.0
6,train,loss,,3.619714426569284e-08
6,test,loss,,5.375741903438383
6,train,accuracy,,1.0
6,test,accuracy,,0.2913077473640442
6,general,weights_l2,layers.0.weight,1114.593017578125
6,general,weights_l2,layers.1.weight,959.6153564453125
6,general,weights_l2,layers.2.weight,592.9855346679688
6,train,zero_terms,,0.0
6,train,softmax_collapse,,1.0
7,train,loss,,5.250098659743019e-09
7,test,loss,,3.7599406721481436
7,train,accuracy,,1.0
7,test,accuracy,,0.5160532593727112
7,general,weights_l2,layers.0.weight,1480.3773193359375
7,general,weights_l2,layers.1.weight,1279.3629150390625
7,general,weights_l2,layers.2.weight,789.966064453125
7,train,zero_terms,,0.0
7,train,softmax_collapse,,1.0
8,train,loss,,7.749423573571381e-10
8,test,loss,,2.240147480896072
8,train,accuracy,,1.0
8,test,accuracy,,0.7273557782173157
8,general,weights_l2,layers.0.weight,1966.214111328125
8,general,weights_l2,layers.1.weight,1699.84716796875
8,general,weights_l2,layers.2.weight,1052.4620361328125
8,train,zero_terms,,0.0
8,train,softmax_collapse,,1.0
9,train,loss,,1.1719963635711612e-10
9,test,loss,,1.3069556491947756
9,train,accuracy,,1.0
9,test,accuracy,,0.8718350529670715
9,general,weights_l2,layers.0.weight,2615.71044921875
9,general,weights_l2,layers.1.weight,2251.9482421875
9,general,weights_l2,layers.2.weight,1404.296875
9,train,zero_terms,,0.0
9,train,softmax_collapse,,1.0
10,train,loss,,1.8209939224295495e-11
10,test,loss,,0.7866282527782325
10,train,accuracy,,1.0
10,test,accuracy,,0.9373531937599182
10,general,weights_l2,layers.0.weight,3485.306884765625
10,general,weights_l2,layers.1.weight,2976.086181640625
10,general,weights_l2,layers.2.weight,1878.2725830078125
10,train,zero_terms,,0.0
10,train,softmax_collapse,,1.0
11,train,loss,,2.915054660686059e-12
11,test,loss,,0.5447405699642234
11,train,accuracy,,1.0
11,test,accuracy,,0.9643695950508118
11,general,weights_l2,layers.0.weight,4641.80126953125
11,general,weights_l2,layers.1.weight,3923.83349609375
11,general,weights_l2,layers.2.weight,2519.09130859375
11,train,zero_terms,,0.0
11,train,softmax_collapse,,1.0
12,train,loss,,4.831186470177102e-13
12,test,loss,,0.4237669557050255
12,train,accuracy,,1.0
12,test,accuracy,,0.9771600365638733
12,general,weights_l2,layers.0.weight,6159.41796875
12,general,weights_l2,layers.1.weight,5162.01611328125
12,general,weights_l2,layers.2.weight,3387.844970703125
