epoch,input_type,metric_name,layer,value
0,train,loss,,4.726675987243652
0,test,loss,,4.727728843688965
0,train,accuracy,,0.009790483862161636
0,test,accuracy,,0.007439310662448406
0,general,weights_l2,layers.0.weight,8.173735618591309
0,general,weights_l2,layers.1.weight,8.17491626739502
0,general,weights_l2,layers.2.weight,6.124390602111816
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.20594781637191772
1,test,loss,,12.034747123718262
1,train,accuracy,,1.0
1,test,accuracy,,0.0005220568855293095
1,general,weights_l2,layers.0.weight,46.01758575439453
1,general,weights_l2,layers.1.weight,49.098243713378906
1,general,weights_l2,layers.2.weight,40.30588150024414
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.0034532782156020403
2,test,loss,,18.885902404785156
2,train,accuracy,,1.0
2,test,accuracy,,0.0005220568855293095
2,general,weights_l2,layers.0.weight,55.362998962402344
2,general,weights_l2,layers.1.weight,60.318721771240234
2,general,weights_l2,layers.2.weight,49.737361907958984
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.00017355881573166698
3,test,loss,,23.929601669311523
3,train,accuracy,,1.0
3,test,accuracy,,0.0006525711505673826
3,general,weights_l2,layers.0.weight,60.43815612792969
3,general,weights_l2,layers.1.weight,66.43167877197266
3,general,weights_l2,layers.2.weight,54.832786560058594
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,1.0199954886047635e-05
4,test,loss,,28.712491989135742
4,train,accuracy,,1.0
4,test,accuracy,,0.001044113771058619
4,general,weights_l2,layers.0.weight,64.52389526367188
4,general,weights_l2,layers.1.weight,71.3545150756836
4,general,weights_l2,layers.2.weight,58.9283332824707
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,6.39164682070259e-07
5,test,loss,,33.318138122558594
5,train,accuracy,,1.0
5,test,accuracy,,0.0013051423011347651
5,general,weights_l2,layers.0.weight,68.01799774169922
5,general,weights_l2,layers.1.weight,75.57403564453125
5,general,weights_l2,layers.2.weight,62.434993743896484
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,4.1848380760711734e-08
6,test,loss,,37.7931022644043
6,train,accuracy,,1.0
6,test,accuracy,,0.0013051423011347651
