epoch,input_type,metric_name,layer,value
0,train,loss,,4.718611717224121
0,test,loss,,4.731809139251709
0,train,accuracy,,0.017622871324419975
0,test,accuracy,,0.006264682859182358
0,general,weights_l2,layers.0.weight,8.370484352111816
0,general,weights_l2,layers.1.weight,8.404789924621582
0,general,weights_l2,layers.2.weight,6.3084635734558105
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.4875054359436035
1,test,loss,,4.927445411682129
1,train,accuracy,,0.05639318749308586
1,test,accuracy,,0.00026102844276465476
1,general,weights_l2,layers.0.weight,11.800589561462402
1,general,weights_l2,layers.1.weight,11.534543991088867
1,general,weights_l2,layers.2.weight,8.588395118713379
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.130669116973877
2,test,loss,,5.37782621383667
2,train,accuracy,,0.08165263384580612
2,test,accuracy,,0.0005220568855293095
2,general,weights_l2,layers.0.weight,16.256818771362305
2,general,weights_l2,layers.1.weight,15.071918487548828
2,general,weights_l2,layers.2.weight,10.993610382080078
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,3.830416679382324
3,test,loss,,5.505361080169678
3,train,accuracy,,0.1574309766292572
3,test,accuracy,,0.0005220568855293095
3,general,weights_l2,layers.0.weight,20.288787841796875
3,general,weights_l2,layers.1.weight,17.060701370239258
3,general,weights_l2,layers.2.weight,12.182686805725098
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,3.5927200317382812
4,test,loss,,5.522939205169678
4,train,accuracy,,0.23301351070404053
4,test,accuracy,,0.0007830853573977947
4,general,weights_l2,layers.0.weight,23.210660934448242
4,general,weights_l2,layers.1.weight,18.174964904785156
4,general,weights_l2,layers.2.weight,12.764185905456543
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,3.4069719314575195
5,test,loss,,5.466268062591553
5,train,accuracy,,0.29567259550094604
5,test,accuracy,,0.0015661707147955894
5,general,weights_l2,layers.0.weight,25.172542572021484
5,general,weights_l2,layers.1.weight,18.842100143432617
5,general,weights_l2,layers.2.weight,13.132278442382812
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,3.2349960803985596
6,test,loss,,5.323019981384277
6,train,accuracy,,0.3710593283176422
6,test,accuracy,,0.002349256072193384
6,general,weights_l2,layers.0.weight,26.53142547607422
6,general,weights_l2,layers.1.weight,19.275854110717773
6,general,weights_l2,layers.2.weight,13.442273139953613
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,3.0206708908081055
7,test,loss,,4.993222713470459
7,train,accuracy,,0.4626982510089874
7,test,accuracy,,0.00652571115642786
7,general,weights_l2,layers.0.weight,27.527494430541992
7,general,weights_l2,layers.1.weight,19.614688873291016
7,general,weights_l2,layers.2.weight,13.8341703414917
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,2.6737546920776367
8,test,loss,,4.288505554199219
8,train,accuracy,,0.5919326543807983
8,test,accuracy,,0.02819107286632061
8,general,weights_l2,layers.0.weight,28.1927547454834
8,general,weights_l2,layers.1.weight,19.923809051513672
8,general,weights_l2,layers.2.weight,14.476320266723633
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,2.1090846061706543
9,test,loss,,3.154757261276245
9,train,accuracy,,0.7587624788284302
9,test,accuracy,,0.19120334088802338
9,general,weights_l2,layers.0.weight,28.917997360229492
9,general,weights_l2,layers.1.weight,20.511693954467773
9,general,weights_l2,layers.2.weight,15.445796966552734
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,1.2983464002609253
10,test,loss,,1.8119183778762817
10,train,accuracy,,0.9516350030899048
10,test,accuracy,,0.7721221446990967
10,general,weights_l2,layers.0.weight,30.61662483215332
10,general,weights_l2,layers.1.weight,21.7016544342041
10,general,weights_l2,layers.2.weight,16.719655990600586
10,train,zero_terms,,0.0
10,train,softmax_collapse,,0.0
11,train,loss,,0.5674118399620056
11,test,loss,,0.7622061967849731
11,train,accuracy,,0.9996083974838257
11,test,accuracy,,0.9937353134155273
11,general,weights_l2,layers.0.weight,33.467796325683594
11,general,weights_l2,layers.1.weight,23.37071418762207
11,general,weights_l2,layers.2.weight,18.143619537353516
11,train,zero_terms,,0.0
11,train,softmax_collapse,,0.0
12,train,loss,,0.2533808946609497
12,test,loss,,0.3715735673904419
12,train,accuracy,,1.0
12,test,accuracy,,0.999347448348999
12,general,weights_l2,layers.0.weight,36.25807571411133
12,general,weights_l2,layers.1.weight,24.797775268554688
12,general,weights_l2,layers.2.weight,19.216081619262695
12,train,zero_terms,,0.0
12,train,softmax_collapse,,0.0
13,train,loss,,0.1349862664937973
13,test,loss,,0.21601621806621552
13,train,accuracy,,1.0
13,test,accuracy,,1.0
13,general,weights_l2,layers.0.weight,38.17429733276367
13,general,weights_l2,layers.1.weight,25.69599151611328
13,general,weights_l2,layers.2.weight,19.819129943847656
13,train,zero_terms,,0.0
13,train,softmax_collapse,,0.0
14,train,loss,,0.0882764682173729
14,test,loss,,0.14884290099143982
14,train,accuracy,,1.0
14,test,accuracy,,1.0
14,general,weights_l2,layers.0.weight,39.328392028808594
14,general,weights_l2,layers.1.weight,26.245567321777344
14,general,weights_l2,layers.2.weight,20.13898468017578
14,train,zero_terms,,0.0
14,train,softmax_collapse,,0.0
15,train,loss,,0.068290114402771
15,test,loss,,0.11840667575597763
15,train,accuracy,,1.0
15,test,accuracy,,1.0
15,general,weights_l2,layers.0.weight,39.99832534790039
