epoch,input_type,metric_name,layer,value
0,train,loss,,4.821211338043213
0,test,loss,,4.916048526763916
0,train,accuracy,,0.012955949641764164
0,test,accuracy,,0.005978477653115988
0,general,weights_l2,embedding.weight,121.40348052978516
0,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,13.862335205078125
0,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.015993135049939156
0,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,6.527806758880615
0,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.01131286658346653
0,general,weights_l2,transformer.layers.0.linear1.weight,26.147052764892578
0,general,weights_l2,transformer.layers.0.linear1.bias,2.300605058670044
0,general,weights_l2,transformer.layers.0.linear2.weight,6.545210361480713
0,general,weights_l2,transformer.layers.0.linear2.bias,0.14010368287563324
0,general,weights_l2,transformer.layers.0.norm1.weight,11.31424331665039
0,general,weights_l2,transformer.layers.0.norm1.bias,0.011313076131045818
0,general,weights_l2,transformer.layers.0.norm2.weight,11.313714027404785
0,general,weights_l2,transformer.layers.0.norm2.bias,0.011313171125948429
0,general,weights_l2,linear.weight,6.165552139282227
0,general,weights_l2,linear.bias,0.5535349249839783
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.638123631477356
1,test,loss,,5.480371475219727
1,train,accuracy,,0.9980067610740662
1,test,accuracy,,0.003985651768743992
1,general,weights_l2,embedding.weight,121.26411437988281
1,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,14.653878211975098
1,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.2717612385749817
1,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,7.256955146789551
1,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.15873309969902039
1,general,weights_l2,transformer.layers.0.linear1.weight,29.53334617614746
1,general,weights_l2,transformer.layers.0.linear1.bias,2.4495697021484375
1,general,weights_l2,transformer.layers.0.linear2.weight,10.811527252197266
1,general,weights_l2,transformer.layers.0.linear2.bias,0.1791284680366516
1,general,weights_l2,transformer.layers.0.norm1.weight,11.333480834960938
1,general,weights_l2,transformer.layers.0.norm1.bias,0.16281750798225403
1,general,weights_l2,transformer.layers.0.norm2.weight,11.24832534790039
1,general,weights_l2,transformer.layers.0.norm2.bias,0.16995733976364136
1,general,weights_l2,linear.weight,6.644957065582275
1,general,weights_l2,linear.bias,0.6226323843002319
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.11314910650253296
2,test,loss,,0.9026545286178589
2,train,accuracy,,1.0
2,test,accuracy,,0.8869403600692749
2,general,weights_l2,embedding.weight,121.25472259521484
2,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,14.854986190795898
2,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.26921436190605164
2,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,7.517362117767334
2,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.1792651116847992
2,general,weights_l2,transformer.layers.0.linear1.weight,30.53816032409668
2,general,weights_l2,transformer.layers.0.linear1.bias,2.422961473464966
2,general,weights_l2,transformer.layers.0.linear2.weight,10.886085510253906
2,general,weights_l2,transformer.layers.0.linear2.bias,0.18297946453094482
2,general,weights_l2,transformer.layers.0.norm1.weight,11.349562644958496
2,general,weights_l2,transformer.layers.0.norm1.bias,0.18199054896831512
2,general,weights_l2,transformer.layers.0.norm2.weight,10.983412742614746
2,general,weights_l2,transformer.layers.0.norm2.bias,0.16835792362689972
2,general,weights_l2,linear.weight,6.722719192504883
2,general,weights_l2,linear.bias,0.6520092487335205
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.04448595643043518
3,test,loss,,0.14281179010868073
3,train,accuracy,,1.0
3,test,accuracy,,0.9998671412467957
3,general,weights_l2,embedding.weight,121.27311706542969
3,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,15.001629829406738
3,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.2832728624343872
3,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,7.603677272796631
3,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.1871192306280136
3,general,weights_l2,transformer.layers.0.linear1.weight,30.785966873168945
3,general,weights_l2,transformer.layers.0.linear1.bias,2.386126756668091
3,general,weights_l2,transformer.layers.0.linear2.weight,10.894640922546387
3,general,weights_l2,transformer.layers.0.linear2.bias,0.18403904139995575
3,general,weights_l2,transformer.layers.0.norm1.weight,11.353493690490723
