epoch,input_type,metric_name,layer,value
0,train,loss,,4.8204216957092285
0,test,loss,,4.913626670837402
0,train,accuracy,,0.012756627053022385
0,test,accuracy,,0.0063770427368581295
0,general,weights_l2,embedding.weight,121.40247344970703
0,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,13.86011028289795
0,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.019364917650818825
0,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,6.5267510414123535
0,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.011313708499073982
0,general,weights_l2,transformer.layers.0.linear1.weight,26.146026611328125
0,general,weights_l2,transformer.layers.0.linear1.bias,2.2994871139526367
0,general,weights_l2,transformer.layers.0.linear2.weight,6.5440168380737305
0,general,weights_l2,transformer.layers.0.linear2.bias,0.14123332500457764
0,general,weights_l2,transformer.layers.0.norm1.weight,11.314245223999023
0,general,weights_l2,transformer.layers.0.norm1.bias,0.011313709430396557
0,general,weights_l2,transformer.layers.0.norm2.weight,11.30239486694336
0,general,weights_l2,transformer.layers.0.norm2.bias,0.011313709430396557
0,general,weights_l2,linear.weight,6.132415771484375
0,general,weights_l2,linear.bias,0.5516164898872375
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.0023804381489753723
1,test,loss,,9.069313049316406
1,train,accuracy,,1.0
1,test,accuracy,,0.0
1,general,weights_l2,embedding.weight,122.95274353027344
1,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,19.934354782104492
1,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.7323904037475586
1,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.138137817382812
1,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.290653795003891
1,general,weights_l2,transformer.layers.0.linear1.weight,37.3629035949707
1,general,weights_l2,transformer.layers.0.linear1.bias,3.177449941635132
1,general,weights_l2,transformer.layers.0.linear2.weight,18.231189727783203
1,general,weights_l2,transformer.layers.0.linear2.bias,0.13884200155735016
1,general,weights_l2,transformer.layers.0.norm1.weight,11.231841087341309
1,general,weights_l2,transformer.layers.0.norm1.bias,0.39770641922950745
1,general,weights_l2,transformer.layers.0.norm2.weight,13.27052116394043
1,general,weights_l2,transformer.layers.0.norm2.bias,0.4581437110900879
1,general,weights_l2,linear.weight,17.618738174438477
1,general,weights_l2,linear.bias,0.605417013168335
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.00017533714708406478
2,test,loss,,10.418627738952637
2,train,accuracy,,1.0
2,test,accuracy,,0.0005314202280715108
2,general,weights_l2,embedding.weight,123.11823272705078
2,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.469697952270508
2,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.8017769455909729
2,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.229879379272461
2,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.4728390872478485
2,general,weights_l2,transformer.layers.0.linear1.weight,39.489559173583984
2,general,weights_l2,transformer.layers.0.linear1.bias,3.68865704536438
2,general,weights_l2,transformer.layers.0.linear2.weight,20.301658630371094
2,general,weights_l2,transformer.layers.0.linear2.bias,0.1387513130903244
2,general,weights_l2,transformer.layers.0.norm1.weight,11.150375366210938
2,general,weights_l2,transformer.layers.0.norm1.bias,0.710451602935791
2,general,weights_l2,transformer.layers.0.norm2.weight,14.023648262023926
2,general,weights_l2,transformer.layers.0.norm2.bias,0.4710986912250519
2,general,weights_l2,linear.weight,20.938642501831055
2,general,weights_l2,linear.bias,0.6180834174156189
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,4.2375511839054525e-05
3,test,loss,,11.45110034942627
3,train,accuracy,,1.0
3,test,accuracy,,0.000664275255985558
3,general,weights_l2,embedding.weight,123.14071655273438
3,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.633331298828125
3,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.843001663684845
3,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.256261825561523
3,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.5936075448989868
3,general,weights_l2,transformer.layers.0.linear1.weight,40.815250396728516
3,general,weights_l2,transformer.layers.0.linear1.bias,4.015398979187012
3,general,weights_l2,transformer.layers.0.linear2.weight,21.87256622314453
3,general,weights_l2,transformer.layers.0.linear2.bias,0.13879573345184326
3,general,weights_l2,transformer.layers.0.norm1.weight,11.095146179199219
3,general,weights_l2,transformer.layers.0.norm1.bias,0.9498586654663086
3,general,weights_l2,transformer.layers.0.norm2.weight,14.695642471313477
3,general,weights_l2,transformer.layers.0.norm2.bias,0.48236456513404846
3,general,weights_l2,linear.weight,23.104534149169922
3,general,weights_l2,linear.bias,0.6308255195617676
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,1.4763782019144855e-05
4,test,loss,,12.26331901550293
4,train,accuracy,,1.0
4,test,accuracy,,0.0003985651710536331
4,general,weights_l2,embedding.weight,123.11153411865234
4,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.68645668029785
4,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.886085569858551
4,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.277339935302734
4,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.6660811305046082
4,general,weights_l2,transformer.layers.0.linear1.weight,41.87651443481445
4,general,weights_l2,transformer.layers.0.linear1.bias,4.268922805786133
4,general,weights_l2,transformer.layers.0.linear2.weight,23.311853408813477
4,general,weights_l2,transformer.layers.0.linear2.bias,0.1401962786912918
4,general,weights_l2,transformer.layers.0.norm1.weight,11.053452491760254
4,general,weights_l2,transformer.layers.0.norm1.bias,1.1326383352279663
4,general,weights_l2,transformer.layers.0.norm2.weight,15.443876266479492
4,general,weights_l2,transformer.layers.0.norm2.bias,0.50480717420578
4,general,weights_l2,linear.weight,24.67816734313965
4,general,weights_l2,linear.bias,0.646187961101532
4,train,zero_terms,,0.007972892166633447
4,train,softmax_collapse,,0.008969503454864025
5,train,loss,,7.977328095876146e-06
5,test,loss,,12.991345405578613
5,train,accuracy,,1.0
5,test,accuracy,,0.000664275255985558
5,general,weights_l2,embedding.weight,123.06208038330078
5,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.68644142150879
5,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.9269071817398071
5,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.273444175720215
5,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.7324701547622681
5,general,weights_l2,transformer.layers.0.linear1.weight,42.800506591796875
5,general,weights_l2,transformer.layers.0.linear1.bias,4.485733985900879
5,general,weights_l2,transformer.layers.0.linear2.weight,24.66535758972168
5,general,weights_l2,transformer.layers.0.linear2.bias,0.14159615337848663
5,general,weights_l2,transformer.layers.0.norm1.weight,11.016317367553711
5,general,weights_l2,transformer.layers.0.norm1.bias,1.2980592250823975
5,general,weights_l2,transformer.layers.0.norm2.weight,16.22700309753418
5,general,weights_l2,transformer.layers.0.norm2.bias,0.5290810465812683
5,general,weights_l2,linear.weight,25.77045249938965
5,general,weights_l2,linear.bias,0.6671046018600464
5,train,zero_terms,,0.051425154474785725
5,train,softmax_collapse,,0.05461431294679642
6,train,loss,,4.356321824161569e-06
6,test,loss,,13.566575050354004
6,train,accuracy,,1.0
6,test,accuracy,,0.0009299853700213134
6,general,weights_l2,embedding.weight,122.99964904785156
6,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.671113967895508
6,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.9257763624191284
6,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.274742126464844
6,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.7563154101371765
6,general,weights_l2,transformer.layers.0.linear1.weight,43.62342071533203
6,general,weights_l2,transformer.layers.0.linear1.bias,4.662555694580078
6,general,weights_l2,transformer.layers.0.linear2.weight,25.895734786987305
6,general,weights_l2,transformer.layers.0.linear2.bias,0.1433093100786209
6,general,weights_l2,transformer.layers.0.norm1.weight,10.987154960632324
6,general,weights_l2,transformer.layers.0.norm1.bias,1.4186471700668335
6,general,weights_l2,transformer.layers.0.norm2.weight,16.890438079833984
6,general,weights_l2,transformer.layers.0.norm2.bias,0.5503790974617004
6,general,weights_l2,linear.weight,26.528919219970703
6,general,weights_l2,linear.bias,0.6835428476333618
6,train,zero_terms,,0.1355391668327686
6,train,softmax_collapse,,0.13992425799369812
7,train,loss,,2.550829094616347e-06
7,test,loss,,13.760732650756836
7,train,accuracy,,1.0
7,test,accuracy,,0.0014614056563004851
7,general,weights_l2,embedding.weight,122.93101501464844
7,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.61932373046875
7,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.9579380750656128
7,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.257363319396973
7,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.7855499982833862
7,general,weights_l2,transformer.layers.0.linear1.weight,44.388519287109375
7,general,weights_l2,transformer.layers.0.linear1.bias,4.821805000305176
7,general,weights_l2,transformer.layers.0.linear2.weight,27.064777374267578
7,general,weights_l2,transformer.layers.0.linear2.bias,0.14507441222667694
7,general,weights_l2,transformer.layers.0.norm1.weight,10.958389282226562
7,general,weights_l2,transformer.layers.0.norm1.bias,1.5405175685882568
7,general,weights_l2,transformer.layers.0.norm2.weight,17.43364143371582
7,general,weights_l2,transformer.layers.0.norm2.bias,0.5738375782966614
7,general,weights_l2,linear.weight,27.11163902282715
7,general,weights_l2,linear.bias,0.702424168586731
7,train,zero_terms,,0.2397847319115009
7,train,softmax_collapse,,0.24098066985607147
8,train,loss,,1.5079887134561432e-06
8,test,loss,,14.055481910705566
8,train,accuracy,,1.0
8,test,accuracy,,0.001328550511971116
8,general,weights_l2,embedding.weight,122.85836029052734
8,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.561986923217773
8,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.9712444543838501
8,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.2426118850708
8,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.7918856739997864
8,general,weights_l2,transformer.layers.0.linear1.weight,45.11362075805664
8,general,weights_l2,transformer.layers.0.linear1.bias,4.953932762145996
8,general,weights_l2,transformer.layers.0.linear2.weight,28.175827026367188
8,general,weights_l2,transformer.layers.0.linear2.bias,0.14993900060653687
8,general,weights_l2,transformer.layers.0.norm1.weight,10.936746597290039
8,general,weights_l2,transformer.layers.0.norm1.bias,1.629732608795166
8,general,weights_l2,transformer.layers.0.norm2.weight,17.853971481323242
8,general,weights_l2,transformer.layers.0.norm2.bias,0.5906535387039185
8,general,weights_l2,linear.weight,27.566936492919922
8,general,weights_l2,linear.bias,0.7156760096549988
8,train,zero_terms,,0.32230416583615706
8,train,softmax_collapse,,0.330875039100647
9,train,loss,,1.2656245189646143e-06
9,test,loss,,14.12564754486084
9,train,accuracy,,1.0
9,test,accuracy,,0.0011956954840570688
9,general,weights_l2,embedding.weight,122.79219818115234
9,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.503707885742188
9,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.9661417603492737
9,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.208852767944336
9,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.795453667640686
9,general,weights_l2,transformer.layers.0.linear1.weight,45.774749755859375
9,general,weights_l2,transformer.layers.0.linear1.bias,5.071633815765381
9,general,weights_l2,transformer.layers.0.linear2.weight,29.183815002441406
9,general,weights_l2,transformer.layers.0.linear2.bias,0.1503612995147705
9,general,weights_l2,transformer.layers.0.norm1.weight,10.917193412780762
9,general,weights_l2,transformer.layers.0.norm1.bias,1.7081595659255981
9,general,weights_l2,transformer.layers.0.norm2.weight,18.209468841552734
9,general,weights_l2,transformer.layers.0.norm2.bias,0.6004550457000732
9,general,weights_l2,linear.weight,27.954936981201172
9,general,weights_l2,linear.bias,0.7197778224945068
9,train,zero_terms,,0.42754634243571854
9,train,softmax_collapse,,0.4305361807346344
10,train,loss,,9.461083436690387e-07
10,test,loss,,14.089935302734375
10,train,accuracy,,1.0
10,test,accuracy,,0.001328550511971116
10,general,weights_l2,embedding.weight,122.71969604492188
10,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.438663482666016
10,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.9710051417350769
10,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.173604965209961
10,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.8032642602920532
10,general,weights_l2,transformer.layers.0.linear1.weight,46.440452575683594
10,general,weights_l2,transformer.layers.0.linear1.bias,5.1921820640563965
10,general,weights_l2,transformer.layers.0.linear2.weight,30.193147659301758
10,general,weights_l2,transformer.layers.0.linear2.bias,0.15509815514087677
10,general,weights_l2,transformer.layers.0.norm1.weight,10.898214340209961
10,general,weights_l2,transformer.layers.0.norm1.bias,1.7825971841812134
10,general,weights_l2,transformer.layers.0.norm2.weight,18.48965072631836
10,general,weights_l2,transformer.layers.0.norm2.bias,0.6140748262405396
10,general,weights_l2,linear.weight,28.27511215209961
10,general,weights_l2,linear.bias,0.7320950031280518
10,train,zero_terms,,0.481762009168826
10,train,softmax_collapse,,0.4853498041629791
11,train,loss,,7.178600185397954e-07
11,test,loss,,13.993853569030762
11,train,accuracy,,1.0
11,test,accuracy,,0.0023913909681141376
11,general,weights_l2,embedding.weight,122.6575927734375
11,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.373998641967773
11,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.9924836158752441
11,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.15802001953125
11,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.8035690188407898
11,general,weights_l2,transformer.layers.0.linear1.weight,47.0687370300293
11,general,weights_l2,transformer.layers.0.linear1.bias,5.289129734039307
11,general,weights_l2,transformer.layers.0.linear2.weight,31.13719367980957
11,general,weights_l2,transformer.layers.0.linear2.bias,0.15828904509544373
11,general,weights_l2,transformer.layers.0.norm1.weight,10.880897521972656
11,general,weights_l2,transformer.layers.0.norm1.bias,1.855322241783142
11,general,weights_l2,transformer.layers.0.norm2.weight,18.714719772338867
11,general,weights_l2,transformer.layers.0.norm2.bias,0.635402500629425
11,general,weights_l2,linear.weight,28.53728675842285
11,general,weights_l2,linear.bias,0.7407616376876831
11,train,zero_terms,,0.5473390472393861
11,train,softmax_collapse,,0.5527207255363464
12,train,loss,,4.954824248670775e-07
12,test,loss,,13.850101470947266
12,train,accuracy,,1.0
12,test,accuracy,,0.0034542314242571592
12,general,weights_l2,embedding.weight,122.60111236572266
12,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.327789306640625
12,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,1.0177907943725586
12,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.144357681274414
12,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.8065038919448853
12,general,weights_l2,transformer.layers.0.linear1.weight,47.66447067260742
12,general,weights_l2,transformer.layers.0.linear1.bias,5.385431289672852
12,general,weights_l2,transformer.layers.0.linear2.weight,32.02544403076172
