epoch,input_type,metric_name,layer,value
0,train,loss,,4.72230863571167
0,test,loss,,4.729559421539307
0,train,accuracy,,0.019972587004303932
0,test,accuracy,,0.007308796513825655
0,general,weights_l2,layers.0.weight,8.204761505126953
0,general,weights_l2,layers.1.weight,8.230403900146484
0,general,weights_l2,layers.2.weight,6.17128324508667
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.4673991203308105
1,test,loss,,4.9692182540893555
1,train,accuracy,,0.05012727528810501
1,test,accuracy,,0.0009135995642282069
1,general,weights_l2,layers.0.weight,11.025226593017578
1,general,weights_l2,layers.1.weight,11.339485168457031
1,general,weights_l2,layers.2.weight,8.532158851623535
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.105728626251221
2,test,loss,,5.330953598022461
2,train,accuracy,,0.08968082815408707
2,test,accuracy,,0.0007830853573977947
2,general,weights_l2,layers.0.weight,15.217897415161133
2,general,weights_l2,layers.1.weight,14.703953742980957
2,general,weights_l2,layers.2.weight,10.962465286254883
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,3.8685872554779053
3,test,loss,,5.337413787841797
3,train,accuracy,,0.1578225940465927
3,test,accuracy,,0.0009135995642282069
3,general,weights_l2,layers.0.weight,18.028928756713867
3,general,weights_l2,layers.1.weight,16.203554153442383
3,general,weights_l2,layers.2.weight,11.795276641845703
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,3.656569004058838
4,test,loss,,5.024279594421387
4,train,accuracy,,0.23105540871620178
4,test,accuracy,,0.0028713128995150328
4,general,weights_l2,layers.0.weight,19.333881378173828
4,general,weights_l2,layers.1.weight,16.684940338134766
4,general,weights_l2,layers.2.weight,12.270246505737305
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,3.0199007987976074
5,test,loss,,3.552051067352295
5,train,accuracy,,0.38770315051078796
5,test,accuracy,,0.08992429822683334
5,general,weights_l2,layers.0.weight,19.41676139831543
5,general,weights_l2,layers.1.weight,16.541645050048828
5,general,weights_l2,layers.2.weight,13.982224464416504
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,2.310495138168335
6,test,loss,,2.459841012954712
6,train,accuracy,,0.6344233155250549
6,test,accuracy,,0.49752023816108704
6,general,weights_l2,layers.0.weight,20.378726959228516
6,general,weights_l2,layers.1.weight,17.9669246673584
6,general,weights_l2,layers.2.weight,16.031463623046875
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,1.940488576889038
7,test,loss,,2.052086114883423
7,train,accuracy,,0.7268455028533936
7,test,accuracy,,0.6490472555160522
7,general,weights_l2,layers.0.weight,22.260650634765625
7,general,weights_l2,layers.1.weight,19.14714241027832
7,general,weights_l2,layers.2.weight,17.227127075195312
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,1.7830865383148193
8,test,loss,,1.887663722038269
8,train,accuracy,,0.7881339192390442
8,test,accuracy,,0.7132602334022522
8,general,weights_l2,layers.0.weight,23.41935920715332
8,general,weights_l2,layers.1.weight,19.81971549987793
8,general,weights_l2,layers.2.weight,17.644676208496094
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,1.7091058492660522
9,test,loss,,1.8117364645004272
9,train,accuracy,,0.814176619052887
9,test,accuracy,,0.7464108467102051
9,general,weights_l2,layers.0.weight,24.003280639648438
9,general,weights_l2,layers.1.weight,20.20616912841797
9,general,weights_l2,layers.2.weight,17.815908432006836
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,1.661362886428833
10,test,loss,,1.7634559869766235
10,train,accuracy,,0.8304288387298584
10,test,accuracy,,0.7680762410163879
10,general,weights_l2,layers.0.weight,24.3756103515625
10,general,weights_l2,layers.1.weight,20.50033950805664
10,general,weights_l2,layers.2.weight,17.91473960876465
10,train,zero_terms,,0.0
10,train,softmax_collapse,,0.0
11,train,loss,,1.6232497692108154
11,test,loss,,1.7255476713180542
11,train,accuracy,,0.8427648544311523
11,test,accuracy,,0.7785173654556274
11,general,weights_l2,layers.0.weight,24.679956436157227
11,general,weights_l2,layers.1.weight,20.753787994384766
11,general,weights_l2,layers.2.weight,17.989046096801758
11,train,zero_terms,,0.0
11,train,softmax_collapse,,0.0
12,train,loss,,1.591386318206787
12,test,loss,,1.693760871887207
12,train,accuracy,,0.8486391305923462
12,test,accuracy,,0.7866092324256897
12,general,weights_l2,layers.0.weight,24.94253158569336
12,general,weights_l2,layers.1.weight,20.973976135253906
12,general,weights_l2,layers.2.weight,18.050025939941406
12,train,zero_terms,,0.0
12,train,softmax_collapse,,0.0
13,train,loss,,1.5641815662384033
13,test,loss,,1.6674704551696777
13,train,accuracy,,0.857450544834137
13,test,accuracy,,0.7948316335678101
13,general,weights_l2,layers.0.weight,25.169673919677734
13,general,weights_l2,layers.1.weight,21.165660858154297
13,general,weights_l2,layers.2.weight,18.10268211364746
13,train,zero_terms,,0.0
13,train,softmax_collapse,,0.0
14,train,loss,,1.5407944917678833
14,test,loss,,1.6439037322998047
14,train,accuracy,,0.8666536211967468
14,test,accuracy,,0.8068389296531677
14,general,weights_l2,layers.0.weight,25.36508560180664
14,general,weights_l2,layers.1.weight,21.331506729125977
14,general,weights_l2,layers.2.weight,18.15094757080078
14,train,zero_terms,,0.0
14,train,softmax_collapse,,0.0
15,train,loss,,1.5204998254776
15,test,loss,,1.6243312358856201
15,train,accuracy,,0.8705698251724243
15,test,accuracy,,0.8119289875030518
15,general,weights_l2,layers.0.weight,25.531938552856445
15,general,weights_l2,layers.1.weight,21.47585105895996
15,general,weights_l2,layers.2.weight,18.19651222229004
15,train,zero_terms,,0.0
15,train,softmax_collapse,,0.0
16,train,loss,,1.5028349161148071
16,test,loss,,1.607990026473999
16,train,accuracy,,0.8787938356399536
16,test,accuracy,,0.8125815987586975
16,general,weights_l2,layers.0.weight,25.678619384765625
16,general,weights_l2,layers.1.weight,21.601919174194336
16,general,weights_l2,layers.2.weight,18.23892593383789
16,train,zero_terms,,0.0
16,train,softmax_collapse,,0.0
17,train,loss,,1.487558126449585
17,test,loss,,1.5946861505508423
17,train,accuracy,,0.877814769744873
17,test,accuracy,,0.8132341504096985
17,general,weights_l2,layers.0.weight,25.806873321533203
17,general,weights_l2,layers.1.weight,21.711973190307617
17,general,weights_l2,layers.2.weight,18.27716636657715
17,train,zero_terms,,0.0
17,train,softmax_collapse,,0.0
18,train,loss,,1.4742461442947388
18,test,loss,,1.5816887617111206
18,train,accuracy,,0.882318377494812
18,test,accuracy,,0.8206734657287598
18,general,weights_l2,layers.0.weight,25.91692352294922
18,general,weights_l2,layers.1.weight,21.803905487060547
18,general,weights_l2,layers.2.weight,18.313737869262695
18,train,zero_terms,,0.0
18,train,softmax_collapse,,0.0
19,train,loss,,1.4624661207199097
19,test,loss,,1.5711033344268799
19,train,accuracy,,0.886821985244751
19,test,accuracy,,0.8175411224365234
19,general,weights_l2,layers.0.weight,26.01540184020996
19,general,weights_l2,layers.1.weight,21.88419532775879
19,general,weights_l2,layers.2.weight,18.34779930114746
19,train,zero_terms,,0.0
19,train,softmax_collapse,,0.0
20,train,loss,,1.4513121843338013
20,test,loss,,1.5602840185165405
20,train,accuracy,,0.8958292603492737
20,test,accuracy,,0.8309840559959412
20,general,weights_l2,layers.0.weight,26.104618072509766
20,general,weights_l2,layers.1.weight,21.956497192382812
20,general,weights_l2,layers.2.weight,18.381839752197266
20,train,zero_terms,,0.0
20,train,softmax_collapse,,0.0
21,train,loss,,1.423854947090149
21,test,loss,,1.5349675416946411
21,train,accuracy,,0.9038574695587158
21,test,accuracy,,0.8435134291648865
21,general,weights_l2,layers.0.weight,26.179546356201172
21,general,weights_l2,layers.1.weight,22.030563354492188
21,general,weights_l2,layers.2.weight,18.455291748046875
21,train,zero_terms,,0.0
21,train,softmax_collapse,,0.0
22,train,loss,,1.3553321361541748
22,test,loss,,1.4803993701934814
22,train,accuracy,,0.8827099800109863
22,test,accuracy,,0.8247193694114685
22,general,weights_l2,layers.0.weight,26.327951431274414
22,general,weights_l2,layers.1.weight,21.662948608398438
22,general,weights_l2,layers.2.weight,18.564374923706055
22,train,zero_terms,,0.0
22,train,softmax_collapse,,0.0
23,train,loss,,1.3091098070144653
23,test,loss,,1.4490571022033691
23,train,accuracy,,0.882318377494812
23,test,accuracy,,0.8133646845817566
23,general,weights_l2,layers.0.weight,26.891145706176758
23,general,weights_l2,layers.1.weight,20.68181037902832
23,general,weights_l2,layers.2.weight,18.716463088989258
23,train,zero_terms,,0.0
23,train,softmax_collapse,,0.0
24,train,loss,,1.277037501335144
24,test,loss,,1.4039841890335083
24,train,accuracy,,0.8930879235267639
24,test,accuracy,,0.8427303433418274
24,general,weights_l2,layers.0.weight,27.332958221435547
24,general,weights_l2,layers.1.weight,20.374588012695312
24,general,weights_l2,layers.2.weight,18.750993728637695
24,train,zero_terms,,0.0
24,train,softmax_collapse,,0.0
