epoch,input_type,metric_name,layer,value
0,train,loss,,4.727028269255683
0,test,loss,,4.727616334016101
0,train,accuracy,,0.009203054942190647
0,test,accuracy,,0.007439310662448406
0,general,weights_l2,layers.0.weight,8.173326741019604
0,general,weights_l2,layers.1.weight,8.174480846055896
0,general,weights_l2,layers.2.weight,6.123183685582166
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.701591931299005
1,test,loss,,4.751721104047683
1,train,accuracy,,0.016643822193145752
1,test,accuracy,,0.0057426257990300655
1,general,weights_l2,layers.0.weight,8.317710308591971
1,general,weights_l2,layers.1.weight,8.310470554584423
1,general,weights_l2,layers.2.weight,6.311478224587513
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.625443442299526
2,test,loss,,4.802487347432555
2,train,accuracy,,0.035833168774843216
2,test,accuracy,,0.0018271991284564137
2,general,weights_l2,layers.0.weight,8.960139849257155
2,general,weights_l2,layers.1.weight,8.819639534827356
2,general,weights_l2,layers.2.weight,7.0532740125238105
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,4.440011334891763
3,test,loss,,4.958744807200466
3,train,accuracy,,0.03348345309495926
3,test,accuracy,,0.0016966849798336625
3,general,weights_l2,layers.0.weight,11.038334239345318
3,general,weights_l2,layers.1.weight,10.87452588057318
3,general,weights_l2,layers.2.weight,8.996231546322376
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,4.370924077653593
4,test,loss,,4.976712247309168
4,train,accuracy,,0.04092422127723694
4,test,accuracy,,0.0016966849798336625
4,general,weights_l2,layers.0.weight,12.445379012790134
4,general,weights_l2,layers.1.weight,11.44731503460793
4,general,weights_l2,layers.2.weight,9.467344823932933
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,4.338386155955448
5,test,loss,,4.972071223217037
5,train,accuracy,,0.04836498945951462
5,test,accuracy,,0.002349256072193384
5,general,weights_l2,layers.0.weight,13.002966357422768
5,general,weights_l2,layers.1.weight,11.67239438698056
5,general,weights_l2,layers.2.weight,9.730793191677444
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,4.218476720039768
6,test,loss,,4.746066473999235
6,train,accuracy,,0.06383395195007324
6,test,accuracy,,0.005612111650407314
6,general,weights_l2,layers.0.weight,13.820193062362526
6,general,weights_l2,layers.1.weight,12.07312856892068
6,general,weights_l2,layers.2.weight,10.28644434746837
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,3.951536539981207
7,test,loss,,4.228776751188011
7,train,accuracy,,0.09496769309043884
7,test,accuracy,,0.012268337421119213
7,general,weights_l2,layers.0.weight,16.166206219727307
7,general,weights_l2,layers.1.weight,13.367497520936208
7,general,weights_l2,layers.2.weight,11.523205862251771
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,3.8649827550587235
8,test,loss,,4.189208516355796
8,train,accuracy,,0.0934012159705162
8,test,accuracy,,0.013703993521630764
8,general,weights_l2,layers.0.weight,17.3167503093795
8,general,weights_l2,layers.1.weight,14.251854051503182
8,general,weights_l2,layers.2.weight,12.406727546315613
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,3.77167460818507
9,test,loss,,4.195639524731806
9,train,accuracy,,0.10417074710130692
9,test,accuracy,,0.01513965055346489
9,general,weights_l2,layers.0.weight,18.518909012870026
9,general,weights_l2,layers.1.weight,15.463916762366857
9,general,weights_l2,layers.2.weight,13.963046064872392
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,3.689756868734776
10,test,loss,,4.269897650734335
10,train,accuracy,,0.10045035928487778
10,test,accuracy,,0.01696684956550598
10,general,weights_l2,layers.0.weight,20.200443725210363
10,general,weights_l2,layers.1.weight,17.154497746096332
10,general,weights_l2,layers.2.weight,15.997227688811881
10,train,zero_terms,,0.0
10,train,softmax_collapse,,0.0
11,train,loss,,3.488579185308887
11,test,loss,,4.282181546489767
11,train,accuracy,,0.1180732324719429
11,test,accuracy,,0.01761941984295845
11,general,weights_l2,layers.0.weight,23.256717796427854
11,general,weights_l2,layers.1.weight,20.02432528426435
11,general,weights_l2,layers.2.weight,19.592051084031723
11,train,zero_terms,,0.0
11,train,softmax_collapse,,0.0
12,train,loss,,3.267515227914994
12,test,loss,,4.0751637266244485
12,train,accuracy,,0.18738985061645508
12,test,accuracy,,0.024145131930708885
12,general,weights_l2,layers.0.weight,28.045727284928184
12,general,weights_l2,layers.1.weight,25.642345604360273
12,general,weights_l2,layers.2.weight,26.727903121046413
12,train,zero_terms,,0.0
12,train,softmax_collapse,,0.0
13,train,loss,,2.6078358614129713
13,test,loss,,3.559889553612805
13,train,accuracy,,0.3346387445926666
13,test,accuracy,,0.06878099590539932
13,general,weights_l2,layers.0.weight,34.84553430733075
13,general,weights_l2,layers.1.weight,33.168259323703865
13,general,weights_l2,layers.2.weight,35.20375558307985
13,train,zero_terms,,0.0
13,train,softmax_collapse,,0.0
14,train,loss,,1.801757364179373
14,test,loss,,2.9950124450115436
14,train,accuracy,,0.6534168720245361
14,test,accuracy,,0.1790655255317688
14,general,weights_l2,layers.0.weight,40.468416055837174
14,general,weights_l2,layers.1.weight,39.497168862370806
14,general,weights_l2,layers.2.weight,44.6007856419679
14,train,zero_terms,,0.0
14,train,softmax_collapse,,0.0
15,train,loss,,0.7348210362465952
15,test,loss,,2.2340343105749363
15,train,accuracy,,0.9686704277992249
15,test,accuracy,,0.5416340231895447
15,general,weights_l2,layers.0.weight,46.18715227624498
15,general,weights_l2,layers.1.weight,45.53789054481313
15,general,weights_l2,layers.2.weight,51.40560138755449
15,train,zero_terms,,0.0
15,train,softmax_collapse,,0.0
16,train,loss,,0.3968555589101149
16,test,loss,,1.6422676263573721
16,train,accuracy,,1.0
16,test,accuracy,,0.7960062623023987
16,general,weights_l2,layers.0.weight,47.84362145167509
16,general,weights_l2,layers.1.weight,46.63293572524041
16,general,weights_l2,layers.2.weight,53.21895384768182
16,train,zero_terms,,0.0
16,train,softmax_collapse,,0.0
17,train,loss,,0.33417571628719733
17,test,loss,,1.3227463541357782
17,train,accuracy,,1.0
17,test,accuracy,,0.8908901214599609
17,general,weights_l2,layers.0.weight,48.145673428683956
17,general,weights_l2,layers.1.weight,46.760381871185174
17,general,weights_l2,layers.2.weight,53.433877511550754
17,train,zero_terms,,0.0
17,train,softmax_collapse,,0.0
18,train,loss,,0.2964710200470279
18,test,loss,,1.0723305866844381
18,train,accuracy,,1.0
18,test,accuracy,,0.9420517086982727
18,general,weights_l2,layers.0.weight,48.28087621692908
18,general,weights_l2,layers.1.weight,46.827355964632254
18,general,weights_l2,layers.2.weight,53.5433877348945
18,train,zero_terms,,0.0
18,train,softmax_collapse,,0.0
19,train,loss,,0.26937475148550244
19,test,loss,,0.90122266595347
19,train,accuracy,,1.0
19,test,accuracy,,0.9715479016304016
19,general,weights_l2,layers.0.weight,48.377375126243784
19,general,weights_l2,layers.1.weight,46.87705292563227
19,general,weights_l2,layers.2.weight,53.61192418801406
19,train,zero_terms,,0.0
19,train,softmax_collapse,,0.0
20,train,loss,,0.24886826465951833
20,test,loss,,0.7705567213339154
20,train,accuracy,,1.0
20,test,accuracy,,0.9859044551849365
20,general,weights_l2,layers.0.weight,48.45478763374434
20,general,weights_l2,layers.1.weight,46.919044675124304
20,general,weights_l2,layers.2.weight,53.66570448382833
20,train,zero_terms,,0.0
20,train,softmax_collapse,,0.0
21,train,loss,,0.2330960629677815
21,test,loss,,0.6749511097300559
21,train,accuracy,,1.0
21,test,accuracy,,0.9928216934204102
21,general,weights_l2,layers.0.weight,48.518738423150374
21,general,weights_l2,layers.1.weight,46.95498915836802
21,general,weights_l2,layers.2.weight,53.709928027134936
21,train,zero_terms,,0.0
21,train,softmax_collapse,,0.0
22,train,loss,,0.21975508088854392
22,test,loss,,0.5968169229609874
22,train,accuracy,,1.0
22,test,accuracy,,0.9962151050567627
22,general,weights_l2,layers.0.weight,48.573194955053125
22,general,weights_l2,layers.1.weight,46.98622817592693
22,general,weights_l2,layers.2.weight,53.74577011519037
22,train,zero_terms,,0.0
22,train,softmax_collapse,,0.0
23,train,loss,,0.20932905124315973
23,test,loss,,0.542441289214521
23,train,accuracy,,1.0
23,test,accuracy,,0.9981728196144104
23,general,weights_l2,layers.0.weight,48.61992664773021
23,general,weights_l2,layers.1.weight,47.01202160885838
23,general,weights_l2,layers.2.weight,53.77638577230337
23,train,zero_terms,,0.0
23,train,softmax_collapse,,0.0
24,train,loss,,0.2000442243614649
24,test,loss,,0.4967829267707329
24,train,accuracy,,1.0
24,test,accuracy,,0.9988253712654114
24,general,weights_l2,layers.0.weight,48.66209365765211
24,general,weights_l2,layers.1.weight,47.03627948144323
24,general,weights_l2,layers.2.weight,53.80255032329781
24,train,zero_terms,,0.0
24,train,softmax_collapse,,0.0
