epoch,input_type,metric_name,layer,value
0,train,loss,,0.8535038410257714
0,test,loss,,0.8521945963215277
0,train,accuracy,,0.47699999809265137
0,test,accuracy,,0.48500001430511475
0,general,weights_l2,layers.0.weight,8.241772651672363
0,general,weights_l2,layers.0.bias,1.2335923910140991
0,general,weights_l2,layers.1.weight,8.398642539978027
0,general,weights_l2,layers.1.bias,0.5677780508995056
0,general,weights_l2,layers.2.weight,0.820523202419281
0,general,weights_l2,layers.2.bias,0.05016607046127319
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,8.57095002779141e-06
1,test,loss,,3.27125192373563
1,train,accuracy,,1.0
1,test,accuracy,,0.6510000228881836
1,general,weights_l2,layers.0.weight,16.537172317504883
1,general,weights_l2,layers.0.bias,1.6303133964538574
1,general,weights_l2,layers.1.weight,97.4283676147461
1,general,weights_l2,layers.1.bias,1.9331138134002686
1,general,weights_l2,layers.2.weight,18.705224990844727
1,general,weights_l2,layers.2.bias,0.20731991529464722
1,train,zero_terms,,0.0
1,train,softmax_collapse,,1.0
2,train,loss,,2.13725049146227e-07
2,test,loss,,4.652629009882015
2,train,accuracy,,1.0
2,test,accuracy,,0.652999997138977
2,general,weights_l2,layers.0.weight,18.342830657958984
2,general,weights_l2,layers.0.bias,1.8006584644317627
2,general,weights_l2,layers.1.weight,271.9039611816406
2,general,weights_l2,layers.1.bias,18.18549156188965
2,general,weights_l2,layers.2.weight,45.89643478393555
2,general,weights_l2,layers.2.bias,0.20714575052261353
2,train,zero_terms,,0.0
2,train,softmax_collapse,,1.0
3,train,loss,,2.4273875450298857e-08
3,test,loss,,5.400910357004892
3,train,accuracy,,1.0
3,test,accuracy,,0.6449999809265137
3,general,weights_l2,layers.0.weight,20.20431900024414
3,general,weights_l2,layers.0.bias,2.2129740715026855
3,general,weights_l2,layers.1.weight,444.0695495605469
3,general,weights_l2,layers.1.bias,22.626277923583984
3,general,weights_l2,layers.2.weight,69.56324005126953
3,general,weights_l2,layers.2.bias,0.20713895559310913
3,train,zero_terms,,0.0
3,train,softmax_collapse,,1.0
4,train,loss,,4.4719940648678875e-09
4,test,loss,,5.677718297863432
4,train,accuracy,,1.0
4,test,accuracy,,0.6639999747276306
4,general,weights_l2,layers.0.weight,23.640377044677734
4,general,weights_l2,layers.0.bias,2.8237645626068115
4,general,weights_l2,layers.1.weight,648.1136474609375
4,general,weights_l2,layers.1.bias,26.69843864440918
4,general,weights_l2,layers.2.weight,97.5663070678711
4,general,weights_l2,layers.2.bias,0.20713895559310913
4,train,zero_terms,,0.0
4,train,softmax_collapse,,1.0
5,train,loss,,8.870588724816228e-10
5,test,loss,,5.6169994090654365
5,train,accuracy,,1.0
5,test,accuracy,,0.6919999718666077
5,general,weights_l2,layers.0.weight,29.844249725341797
5,general,weights_l2,layers.0.bias,3.7550151348114014
5,general,weights_l2,layers.1.weight,884.7721557617188
5,general,weights_l2,layers.1.bias,30.445281982421875
5,general,weights_l2,layers.2.weight,130.5916748046875
5,general,weights_l2,layers.2.bias,0.20713895559310913
5,train,zero_terms,,0.0
5,train,softmax_collapse,,1.0
6,train,loss,,1.750616335406241e-10
6,test,loss,,5.199051743925443
6,train,accuracy,,1.0
6,test,accuracy,,0.734000027179718
6,general,weights_l2,layers.0.weight,40.37185287475586
6,general,weights_l2,layers.0.bias,5.12406587600708
6,general,weights_l2,layers.1.weight,1137.673583984375
6,general,weights_l2,layers.1.bias,33.51863479614258
6,general,weights_l2,layers.2.weight,166.4228057861328
6,general,weights_l2,layers.2.bias,0.20713895559310913
6,train,zero_terms,,0.0
6,train,softmax_collapse,,1.0
7,train,loss,,3.274588855690525e-11
7,test,loss,,4.443088730267514
7,train,accuracy,,1.0
7,test,accuracy,,0.7870000004768372
7,general,weights_l2,layers.0.weight,57.30881881713867
7,general,weights_l2,layers.0.bias,7.103650093078613
7,general,weights_l2,layers.1.weight,1395.11962890625
7,general,weights_l2,layers.1.bias,36.19342803955078
7,general,weights_l2,layers.2.weight,203.2571258544922
7,general,weights_l2,layers.2.bias,0.20713895559310913
7,train,zero_terms,,0.0
7,train,softmax_collapse,,1.0
8,train,loss,,6.3131028183123876e-12
8,test,loss,,3.4716406929223855
8,train,accuracy,,1.0
8,test,accuracy,,0.843999981880188
8,general,weights_l2,layers.0.weight,83.7305679321289
8,general,weights_l2,layers.0.bias,9.961455345153809
8,general,weights_l2,layers.1.weight,1646.453125
8,general,weights_l2,layers.1.bias,40.411624908447266
8,general,weights_l2,layers.2.weight,240.5892333984375
8,general,weights_l2,layers.2.bias,0.20713895559310913
8,train,zero_terms,,0.0
8,train,softmax_collapse,,1.0
9,train,loss,,1.2509159263993646e-12
9,test,loss,,2.405325608290023
9,train,accuracy,,1.0
9,test,accuracy,,0.8989999890327454
